"","Dataset","Abbreviation","Description","VIF_vars_to_keep"
"59",NA,"Log10_FRE10.MaxDurBetween.StandardisedByMeanFlow","Maximum duration between flows greater than ten times the median/mean flow.","Drop"
"60",NA,"Log10_FRE10.MeanDurBetween.StandardisedByMeanFlow","Mean duration between flows greater than ten times the median/mean flow.","Drop"
"61",NA,"FRE5.Count.StandardisedByMeanFlow","Number of flows greater than five times the median/mean flow.","Drop"
"62",NA,"Log10_FRE5.MaxDurBetween.StandardisedByMeanFlow","Maximum duration between flows greater than five times the median/mean flow.","Drop"
"63",NA,"Log10_FRE5.MeanDurBetween.StandardisedByMeanFlow","Mean duration between flows greater than five times the median/mean flow.","Drop"
"64",NA,"JulianMax.StandardisedByMeanFlow","Annual maximum flow/mean flow","Keep"
"65",NA,"JulianMin.StandardisedByMeanFlow","Annual minimum flow/mean flow","Keep"
"66",NA,"Log10_l1.StandardisedByCatchArea","First linear moment of daily flows/catchment area","Drop"
"67",NA,"Log10_l2.StandardisedByCatchArea","Second linear moment of daily flows/catchment area","Drop"
"68",NA,"lca.StandardisedByCatchArea","Ratio of the first and second linear moment of daily flows/catchment area","Drop"
"69",NA,"lcv.StandardisedByCatchArea","Linear moments coefficient of variation/catchment area","Drop"
"70",NA,"lkur.StandardisedByCatchArea","Third linear moment of daily flows/catchment area","Drop"
"71",NA,"Log10_Mean1DayFlowMaxs.StandardisedByMeanFlow","Mean annual maximum 1 day flow / mean flow","Drop"
"72",NA,"Mean1DayFlowMins.StandardisedByMeanFlow","Mean annual minimum 1 day flow / mean flow","Keep"
"73",NA,"Log10_Mean7DayFlowMaxs.StandardisedByMeanFlow","Mean annual maximum 7 day flow / mean flow","Drop"
"74",NA,"Mean7DayFlowMins.StandardisedByMeanFlow","Mean annual minimum 7 day flow / mean flow","Drop"
"75",NA,"Log10_Mean90DayFlowMaxs.StandardisedByMeanFlow","Mean annual maximum 90 day flow / mean flow","Drop"
"76",NA,"Mean90DayFlowMins.StandardisedByMeanFlow","Mean annual minimum 90 day flow / mean flow","Drop"
"77",NA,"meanNeg.StandardisedByMeanFlow","Mean number of all negative differences between days/mean flow","Drop"
"78",NA,"meanPos.StandardisedByMeanFlow","Mean number of all positive differences between days/mean flow","Drop"
"79",NA,"Log10_MeanPulseLengthHigh.StandardisedByMeanFlow","Mean duration of high pulses/mean flow","Drop"
"80",NA,"MeanPulseLengthLow.StandardisedByMeanFlow","Mean duration of low pulses/mean flow","Drop"
"81",NA,"nNeg.StandardisedByMeanFlow","Number of all negative differences between days/mean flow","Keep"
"82",NA,"nPos.StandardisedByMeanFlow","Number of all positive differences between days/mean flow","Drop"
"83",NA,"Log10_nPulsesHigh.StandardisedByMeanFlow","Number of high pulses within each water year/mean flow","Drop"
"84",NA,"nPulsesLow.StandardisedByMeanFlow","Number of low pulses within each water year/mean flow","Drop"
"85",NA,"Predictability","Predictability of mean-monthly flows (Colwell 1974)","Keep"
"86",NA,"Reversals.StandardisedByMeanFlow","Number of hydrologic reversals/mean flow","Keep"
